crawl_at,source,month,segment,rank,series_id,series_name,brand_name,sub_brand_name,sales,price,last_rank,source_url
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,1,20154,星愿,吉利银河,吉利银河,38751,5.98-9.18万,1,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,2,4363,Model Y,特斯拉,特斯拉中国,28911,26.35-31.35万,3,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,3,6187,小米SU7,小米汽车,小米汽车,24023,21.99-30.39万,2,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,4,9267,零跑A10,零跑汽车,零跑汽车,22306,6.58-8.68万,9,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,5,25557,理想i6,理想汽车,理想汽车,20878,24.98-26.98万,4,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,6,3762,Model 3,特斯拉,特斯拉中国,18370,23.55-33.95万,141,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,7,4499,五菱宏光MINIEV,五菱汽车,上汽通用五菱,18308,3.28-5.28万,14,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,8,25953,问界M6,AITO,赛力斯汽车,18148,22.98-29.98万,113,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,9,9689,元UP,比亚迪,比亚迪,17043,6.98-10.48万,7,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全国零售榜,10,25559,钛7 PHEV,方程豹,方程豹,16247,17.98-21.98万,11,https://www.dongchedi.com/sales/sale-x-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,1,20154,星愿,吉利银河,吉利银河,38751,5.98-9.18万,1,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,2,6187,小米SU7,小米汽车,小米汽车,24023,21.99-30.39万,2,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,3,3762,Model 3,特斯拉,特斯拉中国,18370,23.55-33.95万,59,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,4,4499,五菱宏光MINIEV,五菱汽车,上汽通用五菱,18308,3.28-5.28万,5,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,5,5828,MG4,名爵,上汽集团,15067,6.58-9.98万,6,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,6,10170,小鹏MONA M03,小鹏汽车,小鹏汽车,14160,11.98-15.18万,4,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,7,26039,缤果Pro,五菱汽车,上汽通用五菱,13657,5.68-6.98万,0,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,8,393,朗逸,大众,上汽大众,13033,7.00-11.29万,7,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,9,1145,轩逸,日产,东风日产,12936,6.19-14.19万,9,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:33,懂车帝销量榜,2026年05月,全部轿车,10,5008,海豚,比亚迪,比亚迪,12819,9.18-11.78万,3,https://www.dongchedi.com/sales/sale-jc-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,1,4499,五菱宏光MINIEV,五菱汽车,上汽通用五菱,18308,3.28-5.28万,1,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,2,8956,奔腾小马,奔腾,一汽奔腾,6334,2.84-3.94万,2,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,3,6148,熊猫,吉利银河,吉利银河,2728,3.79-4.39万,3,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,4,5859,长安Lumin,长安启源,长安启源,1980,3.89-6.19万,4,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,5,4272,零跑T03,零跑汽车,零跑汽车,979,5.99-6.99万,12,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,6,6060,拾月,凯翼,凯翼汽车,882,4.79-6.99万,13,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,7,5257,冰淇淋,奇瑞QQ,奇瑞新能源,545,3.69-4.99万,5,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,8,5898,易至EV2,江铃集团新能源,江铃集团新能源,527,3.99-5.19万,9,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,9,25720,埃尚,埃尚,五菱新能源,451,3.98-5.28万,8,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:34,懂车帝销量榜,2026年05月,微型车,10,4503,凌宝BOX,凌宝汽车,吉麦新能源,381,4.19-6.19万,10,https://www.dongchedi.com/sales/sale-jc_1-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,1,20154,星愿,吉利银河,吉利银河,38751,5.98-9.18万,1,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,2,26039,缤果Pro,五菱汽车,上汽通用五菱,13657,5.68-6.98万,0,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,3,5008,海豚,比亚迪,比亚迪,12819,9.18-11.78万,2,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,4,5952,海鸥,比亚迪,比亚迪,9822,6.68-8.59万,3,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,5,25678,QQ3 EV,奇瑞QQ,奇瑞新能源,8523,5.89-7.89万,4,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,6,25116,firefly萤火虫,firefly萤火虫,蔚来,5604,11.98-13.58万,8,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,7,25571,缤果S,五菱汽车,上汽通用五菱,5494,6.38-8.58万,7,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,8,25401,极狐 贝塔T1,ARCFOX极狐,北汽新能源,3281,5.98-8.48万,5,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
2026-06-25T00:56:35,懂车帝销量榜,2026年05月,小型车,9,9261,纳米01,东风奕派,东风乘用车,1812,5.58-8.88万,10,https://www.dongchedi.com/sales/sale-jc_2-x-x-x-x-x
